,Beta,ROI,Subj,Condition,Volume
516,0.287304,FFA,503,FH,13
517,0.311544,FFA,503,FH,14
518,0.316084,FFA,503,FH,15
519,0.343122,FFA,503,FH,16
520,0.143374,FFA,503,FH,17
521,-0.0133534,FFA,503,FH,18
522,-0.0493014,FFA,503,FH,19
523,0.0865657,FFA,503,FH,20
524,0.0401044,FFA,503,FH,21
525,0.106189,FFA,503,Fo,1
526,0.0115863,FFA,503,Fo,2
527,0.0863456,FFA,503,Fo,3
528,0.225966,FFA,503,Fo,4
529,0.22121,FFA,503,Fo,5
530,0.269533,FFA,503,Fo,6
531,0.308158,FFA,503,Fo,7
532,0.236386,FFA,503,Fo,8
533,0.314415,FFA,503,Fo,9
534,0.258688,FFA,503,Fo,10
535,0.257059,FFA,503,Fo,11
536,0.314476,FFA,503,Fo,12
537,0.271186,FFA,503,Fo,13
538,0.319889,FFA,503,Fo,14
539,0.32958,FFA,503,Fo,15
540,0.242125,FFA,503,Fo,16
541,0.123414,FFA,503,Fo,17
542,0.0621111,FFA,503,Fo,18
543,-0.0607595,FFA,503,Fo,19
544,0.104575,FFA,503,Fo,20
545,-0.0979166,FFA,503,Fo,21
546,0.0163384,FFA,503,Fp,1
547,-0.0660848,FFA,503,Fp,2
548,0.104381,FFA,503,Fp,3
549,0.08468,FFA,503,Fp,4
550,0.158287,FFA,503,Fp,5
551,0.088855,FFA,503,Fp,6
552,0.151674,FFA,503,Fp,7
553,0.170001,FFA,503,Fp,8
554,0.148845,FFA,503,Fp,9
555,0.128127,FFA,503,Fp,10
556,0.112394,FFA,503,Fp,11
557,0.138745,FFA,503,Fp,12
558,0.17019,FFA,503,Fp,13
559,0.17689,FFA,503,Fp,14
560,0.177591,FFA,503,Fp,15
561,0.100633,FFA,503,Fp,16
562,0.0259731,FFA,503,Fp,17
563,-0.112486,FFA,503,Fp,18
564,-0.0545111,FFA,503,Fp,19
565,-0.0334367,FFA,503,Fp,20
566,2.3251e-05,FFA,503,Fp,21
567,0.0896563,FFA,503,HF,1
568,-0.0359683,FFA,503,HF,2
569,0.113053,FFA,503,HF,3
570,0.138295,FFA,503,HF,4
571,0.337604,FFA,503,HF,5
572,0.294316,FFA,503,HF,6
573,0.297782,FFA,503,HF,7
574,0.361745,FFA,503,HF,8
575,0.312832,FFA,503,HF,9
576,0.290903,FFA,503,HF,10
577,0.312532,FFA,503,HF,11
578,0.278366,FFA,503,HF,12
579,0.25633,FFA,503,HF,13
580,0.292495,FFA,503,HF,14
581,0.26454,FFA,503,HF,15
582,0.182962,FFA,503,HF,16
583,0.202304,FFA,503,HF,17
584,-0.0133265,FFA,503,HF,18
585,0.00347447,FFA,503,HF,19
586,0.0263475,FFA,503,HF,20
587,0.0373309,FFA,503,HF,21
588,0.0275622,FFA,503,Ho,1
