,Time,Subject,Condition,MotorMapping,Run,FFA,PPA,RH,LH
156,55,503,FH,1,2,-0.653711,0.191972,-0.252965,-0.0577042
157,56,503,FH,1,2,-0.162364,-0.413617,0.571642,0.188006
158,57,503,FH,1,2,-0.548313,0.357418,-0.157755,-0.234585
159,58,503,FH,1,2,-0.386804,-0.851627,0.196042,0.362015
160,59,503,FH,1,2,0.0435679,0.181315,-0.15844,-0.414637
161,60,503,FH,1,2,0.207272,-0.239367,0.194771,-0.0785271
162,61,503,FH,1,2,0.308503,-0.304891,-0.509363,-0.383218
163,62,503,FH,1,2,0.400435,0.094991,-0.225119,0.15962
164,63,503,FH,1,2,0.245771,-0.254606,0.615215,0.39789
165,64,503,FH,1,2,-0.231002,-0.103764,-0.160995,-0.169338
166,65,503,FH,1,2,-0.0232641,-0.355246,-0.199975,0.209701
167,66,503,FH,1,2,0.386589,0.121637,-0.36252,-0.0727488
168,67,503,FH,1,2,0.209994,-0.285642,-0.0189789,-0.0963557
169,68,503,FH,1,2,0.701773,-0.417504,0.136835,0.134405
170,69,503,FH,1,2,1.10481,0.187818,-0.400565,-0.286765
171,70,503,FH,1,2,0.696324,-0.347071,-0.176841,-0.000808383
172,71,503,FH,1,2,0.879787,0.384546,-0.454887,-0.139689
173,72,503,FH,1,2,-0.117488,0.168552,0.745822,1.04134
174,73,503,FH,1,2,0.458498,0.491981,0.0407003,0.305669
175,74,503,FH,1,2,-0.00711901,0.276496,0.300391,0.180086
176,75,503,FH,1,2,0.0124265,-0.422856,-0.311033,-0.0504522
177,76,503,FH,1,2,-0.298658,-0.186871,-0.340091,-0.0301521
178,77,503,FH,1,2,-0.636708,0.106699,-0.666355,-0.376872
179,78,503,FH,1,2,-0.323414,-0.579959,-0.257929,-0.0507628
180,79,503,FH,1,2,-0.255067,0.281412,-0.0753041,0.211176
181,80,503,FH,1,2,0.528501,-0.384987,0.121413,-0.287746
182,81,503,FH,1,2,0.134082,0.29257,-0.0650398,-0.0101713
183,82,503,FH,1,2,0.0515181,0.194434,-0.370099,-0.238436
184,83,503,FH,1,2,0.406225,0.126396,-0.0355079,-0.109038
185,84,503,FH,1,2,0.410306,-0.0157916,-0.251684,-0.525994
186,85,503,FH,1,2,0.151202,-0.88991,-0.0108242,0.43021
187,86,503,FH,1,2,-0.297431,0.396458,-0.35509,-0.114318
188,87,503,FH,1,2,-0.614619,-0.44601,0.541335,-0.0173051
189,88,503,FH,1,2,0.232284,0.436236,0.442063,0.137927
190,89,503,FH,1,2,-0.160455,0.111716,0.10923,0.284664
191,90,503,FH,1,2,0.43583,-0.114561,0.559108,0.413747
192,91,503,FH,1,2,-0.19956,0.0703569,0.507006,0.0876861
193,92,503,FH,1,2,0.105501,-0.317298,0.650585,0.425325
194,93,503,FH,1,2,-0.372065,0.0577368,0.131856,-0.166935
195,94,503,FH,1,2,-0.0933785,-0.62801,0.751638,0.341742
196,95,503,FH,1,2,-0.0651836,0.259984,-0.284493,-0.164165
197,96,503,FH,1,2,0.129481,-0.374725,-0.276247,-0.295331
198,97,503,FH,1,2,0.86672,0.194161,-0.0748643,-0.207537
199,98,503,FH,1,2,0.850242,-0.029564,-0.343604,-0.330083
200,99,503,FH,1,2,-0.186736,-0.00211914,-0.438648,-0.194047
201,100,503,FH,1,2,-0.205502,0.183763,-0.221823,0.00473023
202,101,503,FH,1,2,-0.763873,0.320471,0.117321,0.336926
203,102,503,FH,1,2,-1.37975,0.631947,0.0358267,-0.119609
204,1,503,FH,2,1,1.52723,0.85974,-0.279302,-0.0385038
205,2,503,FH,2,1,0.959112,0.130667,0.0489876,-0.216281
206,3,503,FH,2,1,-0.446841,-0.239744,-0.622592,0.0912771
207,4,503,FH,2,1,-0.110601,0.512268,-0.439896,0.228664
208,5,503,FH,2,1,-1.68106,-0.116103,-0.195211,0.418799
209,6,503,FH,2,1,-0.380616,1.18464,-0.128495,0.0207805
210,7,503,FH,2,1,-1.49817,-0.409276,0.449253,0.421828
211,8,503,FH,2,1,-0.773368,0.0451086,0.261779,-0.00160452
212,9,503,FH,2,1,0.270786,-0.520077,0.431217,0.138862
213,10,503,FH,2,1,-0.703504,-0.331014,-0.324927,-0.00450916
214,11,503,FH,2,1,1.85483,-0.254703,-0.223997,-0.272117
215,12,503,FH,2,1,0.784808,0.0290412,0.167958,-0.572599
216,13,503,FH,2,1,-0.259363,-0.195032,0.128376,0.157775
217,14,503,FH,2,1,0.71407,-0.222072,0.167539,-0.255407
218,15,503,FH,2,1,0.105076,-0.0282527,0.00319983,-0.153911
219,16,503,FH,2,1,0.0,0.0,0.0,0.0
220,17,503,FH,2,1,0.0,0.0,0.0,0.0
221,18,503,FH,2,1,0.0,0.0,0.0,0.0
222,19,503,FH,2,1,0.0,0.0,0.0,0.0
223,20,503,FH,2,1,0.0,0.0,0.0,0.0
224,21,503,FH,2,1,0.0,0.0,0.0,0.0
225,22,503,FH,2,1,0.0,0.0,0.0,0.0
226,23,503,FH,2,1,-1.72304,0.0649468,-0.0277411,-0.229243
227,24,503,FH,2,1,-0.886489,-0.792628,-0.326409,-0.608483
228,25,503,FH,2,1,-1.36318,-0.0173143,0.352225,0.0277902
229,26,503,FH,2,1,0.213675,-0.247759,0.369213,-0.172178
230,27,503,FH,2,1,-0.0325871,-0.726501,0.227291,0.127806
231,28,503,FH,2,1,-0.167379,0.122826,0.174355,-0.0407759
232,29,503,FH,2,1,-2.04225,-0.995805,0.194614,0.141914
233,30,503,FH,2,1,-0.267886,-0.242188,0.294621,0.269463
234,31,503,FH,2,1,0.79454,0.373169,0.45171,0.0371557
235,32,503,FH,2,1,0.574916,-0.340204,0.413636,0.0296627
236,33,503,FH,2,1,1.11728,0.361167,0.0945516,-0.289711
237,34,503,FH,2,1,1.14011,0.191172,0.267504,0.310663
238,35,503,FH,2,1,1.39921,0.00625498,-0.247663,-0.168985
239,36,503,FH,2,1,1.77758,-0.0127349,0.027993,0.186453
240,37,503,FH,2,1,1.07707,0.320893,0.261186,0.124047
241,38,503,FH,2,1,1.12932,0.527263,-0.344925,0.100666
242,39,503,FH,2,1,0.880748,0.271945,-0.148788,-0.145936
243,40,503,FH,2,1,0.457959,0.522127,-0.117633,-0.3496
244,41,503,FH,2,1,-0.533336,0.386874,-0.285565,0.347872
245,42,503,FH,2,1,-0.423462,-0.41114,0.0746177,-0.0179317
246,43,503,FH,2,1,0.222734,-0.0676564,0.0741653,-0.230896
247,44,503,FH,2,1,-1.45774,0.7678,-0.119593,-0.0458075
248,45,503,FH,2,1,-1.64177,-0.660922,-0.272599,0.0352858
249,46,503,FH,2,1,-0.657238,0.166285,-0.241968,-0.532663
250,47,503,FH,2,1,-0.275802,-0.357171,-0.0944254,-0.0322963
251,48,503,FH,2,1,-0.129324,-0.486441,-0.29529,0.0547271
252,49,503,FH,2,1,-0.173501,-0.39374,-0.138298,0.170047
253,50,503,FH,2,1,0.918498,-0.146685,-0.351836,0.25261
254,51,503,FH,2,1,0.709029,-0.0997283,0.220156,0.393092
255,52,503,FH,2,1,0.464713,0.156883,0.364791,0.462025
256,53,503,FH,2,1,0.0341107,0.364624,0.270455,0.539347
257,54,503,FH,2,1,0.605812,-0.240969,0.251769,0.189211
258,55,503,FH,2,1,0.356059,-0.0425982,-0.148288,0.342612
259,56,503,FH,2,1,0.449299,0.287169,-0.154682,0.053602
260,57,503,FH,2,1,-0.171556,-0.00208274,-0.156339,0.1021
261,58,503,FH,2,1,0.20148,0.412591,-0.246412,-0.467755
262,59,503,FH,2,1,0.0,0.0,0.0,0.0
263,60,503,FH,2,1,0.0,0.0,0.0,0.0
264,61,503,FH,2,1,-1.23092,0.443971,0.0157514,0.211902
265,62,503,FH,2,1,-1.25806,0.205196,-0.187601,-0.0995681
266,63,503,FH,2,1,0.215188,-0.329554,0.0768316,-0.219808
267,64,503,FH,2,1,-0.376098,0.343772,-0.0579014,-0.199024
268,65,503,FH,2,1,-0.0120684,0.281475,0.20314,0.0943718
269,66,503,FH,2,1,0.0198123,0.457247,0.286984,0.189563
270,67,503,FH,2,1,0.497105,0.261334,0.172475,-0.101176
271,68,503,FH,2,1,-0.674639,0.115075,0.126153,0.288285
272,69,503,FH,2,1,-0.557195,-0.424547,-0.047879,0.132857
273,70,503,FH,2,1,0.519713,0.139841,0.580682,0.038751
274,71,503,FH,2,1,1.05432,0.0169656,-0.431083,-0.576095
275,72,503,FH,2,1,0.476601,0.621837,-0.594992,-0.283746
276,73,503,FH,2,1,0.699674,0.0381617,-0.475792,-0.113859
277,74,503,FH,2,1,0.0665826,0.0177998,0.10733,0.270126
278,75,503,FH,2,1,-0.534675,-0.344974,-0.0347181,-0.255974
279,76,503,FH,2,1,-1.09963,-1.35747,-0.382979,-0.765336
280,77,503,FH,2,1,0.635529,-0.229868,0.106624,0.0678622
281,78,503,FH,2,1,0.45052,-0.0851786,0.210111,0.120471
282,79,503,FH,2,1,0.42415,0.469245,0.325617,0.225119
283,80,503,FH,2,1,0.305146,-0.427349,0.282693,0.207861
284,81,503,FH,2,1,-0.0723588,-0.865198,-0.481615,-0.708988
285,82,503,FH,2,1,-0.47424,-0.191617,-0.143474,0.381977
286,83,503,FH,2,1,-0.408339,0.287827,-0.300533,-0.140191
287,84,503,FH,2,1,-0.211311,0.0508873,0.194763,0.0633019
288,85,503,FH,2,1,-0.226088,0.617094,-0.288975,-0.536471
289,86,503,FH,2,1,-1.77707,0.142184,-0.256836,-0.0747286
290,87,503,FH,2,1,-0.405526,0.366923,-0.0908002,-0.0831997
291,88,503,FH,2,1,-0.482063,0.291586,-0.0436708,0.106252
292,89,503,FH,2,1,-0.230954,0.301151,0.0863204,-0.088917
293,90,503,FH,2,1,-0.627575,0.0419904,0.0396597,0.0771836
